Raw_Data_ID,Well_ID,filename,filepath,organoid_count,organoid_volume_voxels,bbox_min_z,bbox_max_z,bbox_min_y,bbox_max_y,bbox_min_x,bbox_max_x,shape_z,shape_y,shape_x
18-1,1,18-1-1.h5,./wells/18-1-1.h5,1,1782,17,56,19,62,0,15,39,43,15
18-1,2,18-1-2.h5,./wells/18-1-2.h5,1,3086,11,59,66,108,0,15,48,42,15
18-1,3,18-1-3.h5,./wells/18-1-3.h5,1,2125,15,58,110,150,0,15,43,40,15
18-1,4,18-1-4.h5,./wells/18-1-4.h5,1,1904,14,54,153,193,0,15,40,40,15
18-1,5,18-1-5.h5,./wells/18-1-5.h5,1,1366,17,56,197,234,0,15,39,37,15
18-1,6,18-1-6.h5,./wells/18-1-6.h5,1,1901,60,102,21,61,0,15,42,40,15
18-1,7,18-1-7.h5,./wells/18-1-7.h5,1,1533,62,98,64,107,0,15,36,43,15
18-1,8,18-1-8.h5,./wells/18-1-8.h5,1,1526,59,100,113,149,0,15,41,36,15
18-1,9,18-1-9.h5,./wells/18-1-9.h5,1,1749,58,98,155,195,0,15,40,40,15
18-1,10,18-1-10.h5,./wells/18-1-10.h5,1,1252,59,101,201,235,0,15,42,34,15
18-1,11,18-1-11.h5,./wells/18-1-11.h5,1,1483,105,143,24,61,0,15,38,37,15
18-1,12,18-1-12.h5,./wells/18-1-12.h5,1,1463,104,144,68,108,0,15,40,40,15
18-1,13,18-1-13.h5,./wells/18-1-13.h5,1,1665,106,146,111,153,0,15,40,42,15
18-1,14,18-1-14.h5,./wells/18-1-14.h5,1,1112,106,142,158,193,0,15,36,35,15
18-1,15,18-1-15.h5,./wells/18-1-15.h5,1,1091,104,142,197,236,0,15,38,39,15
18-2,1,18-2-1.h5,./wells/18-2-1.h5,1,1917,11,56,17,56,0,15,45,39,15
18-2,2,18-2-2.h5,./wells/18-2-2.h5,1,2826,13,57,62,105,0,15,44,43,15
18-2,3,18-2-3.h5,./wells/18-2-3.h5,1,1339,17,54,107,150,0,15,37,43,15
18-2,4,18-2-4.h5,./wells/18-2-4.h5,1,1599,14,57,151,191,0,15,43,40,15
18-2,5,18-2-5.h5,./wells/18-2-5.h5,1,1611,20,56,193,235,0,15,36,42,15
18-2,6,18-2-6.h5,./wells/18-2-6.h5,1,2279,58,103,14,55,0,15,45,41,15
18-2,7,18-2-7.h5,./wells/18-2-7.h5,1,1994,56,99,62,104,0,15,43,42,15
18-2,8,18-2-8.h5,./wells/18-2-8.h5,1,3064,53,100,106,151,0,15,47,45,15
18-2,9,18-2-9.h5,./wells/18-2-9.h5,1,1731,59,102,151,191,0,15,43,40,15
18-2,10,18-2-10.h5,./wells/18-2-10.h5,1,2558,56,104,198,233,0,15,48,35,15
18-2,11,18-2-11.h5,./wells/18-2-11.h5,1,3680,98,146,15,59,0,15,48,44,15
18-2,12,18-2-12.h5,./wells/18-2-12.h5,1,2386,105,146,60,105,0,15,41,45,15
18-2,13,18-2-13.h5,./wells/18-2-13.h5,1,1763,102,147,108,146,0,15,45,38,15
18-2,14,18-2-14.h5,./wells/18-2-14.h5,1,2102,104,149,150,191,0,15,45,41,15
18-2,15,18-2-15.h5,./wells/18-2-15.h5,1,1737,106,147,194,232,0,15,41,38,15
18-3,1,18-3-1.h5,./wells/18-3-1.h5,1,684,11,48,20,53,0,15,37,33,15
18-3,2,18-3-2.h5,./wells/18-3-2.h5,1,743,12,47,65,101,0,15,35,36,15
18-3,3,18-3-3.h5,./wells/18-3-3.h5,1,820,11,46,110,145,0,15,35,35,15
18-3,4,18-3-4.h5,./wells/18-3-4.h5,1,1757,12,52,151,189,0,15,40,38,15
18-3,5,18-3-5.h5,./wells/18-3-5.h5,1,810,14,48,196,231,0,15,34,35,15
18-3,6,18-3-6.h5,./wells/18-3-6.h5,0,0,86,116,21,51,0,15,30,30,15
18-3,7,18-3-7.h5,./wells/18-3-7.h5,0,0,86,116,67,97,0,15,30,30,15
18-3,8,18-3-8.h5,./wells/18-3-8.h5,0,0,86,116,111,141,0,15,30,30,15
18-3,9,18-3-9.h5,./wells/18-3-9.h5,1,589,58,90,154,186,0,15,32,32,15
18-3,10,18-3-10.h5,./wells/18-3-10.h5,1,1002,58,96,196,230,0,15,38,34,15
18-3,11,18-3-11.h5,./wells/18-3-11.h5,1,653,101,134,18,54,0,15,33,36,15
18-3,12,18-3-12.h5,./wells/18-3-12.h5,0,0,105,135,67,97,0,15,30,30,15
18-3,13,18-3-13.h5,./wells/18-3-13.h5,1,1325,101,139,108,145,0,15,38,37,15
18-3,14,18-3-14.h5,./wells/18-3-14.h5,1,1065,103,138,152,189,0,15,35,37,15
18-3,15,18-3-15.h5,./wells/18-3-15.h5,1,1001,101,141,196,231,0,15,40,35,15
18-4,1,18-4-1.h5,./wells/18-4-1.h5,1,637,19,53,13,52,0,15,34,39,15
18-4,2,18-4-2.h5,./wells/18-4-2.h5,1,1722,16,59,61,100,0,15,43,39,15
18-4,3,18-4-3.h5,./wells/18-4-3.h5,1,672,16,52,108,141,0,15,36,33,15
18-4,4,18-4-4.h5,./wells/18-4-4.h5,1,1163,19,55,151,186,0,15,36,35,15
18-4,5,18-4-5.h5,./wells/18-4-5.h5,1,950,21,58,192,230,0,15,37,38,15
18-4,6,18-4-6.h5,./wells/18-4-6.h5,1,900,64,101,14,52,0,15,37,38,15
18-4,7,18-4-7.h5,./wells/18-4-7.h5,1,14,26,49,36,59,0,15,23,23,15
18-4,8,18-4-8.h5,./wells/18-4-8.h5,1,1526,57,104,106,142,0,15,47,36,15
18-4,9,18-4-9.h5,./wells/18-4-9.h5,1,1384,64,103,149,186,0,15,39,37,15
18-4,10,18-4-10.h5,./wells/18-4-10.h5,1,1231,63,101,192,229,0,15,38,37,15
18-4,11,18-4-11.h5,./wells/18-4-11.h5,1,1019,110,145,17,53,0,15,35,36,15
18-4,12,18-4-12.h5,./wells/18-4-12.h5,1,1585,103,145,60,98,0,15,42,38,15
18-4,13,18-4-13.h5,./wells/18-4-13.h5,1,1342,108,147,107,143,0,15,39,36,15
18-4,14,18-4-14.h5,./wells/18-4-14.h5,0,0,111,141,153,183,0,15,30,30,15
18-4,15,18-4-15.h5,./wells/18-4-15.h5,1,1264,107,145,193,232,0,15,38,39,15
